0	coronary artery disease	NA	NA	ABSTRACT	Coronary artery disease (CAD) is a common complication among individuals with diabetes.
0	diabetes	NA	NA	RESULTS	Association results were similar using different definitions of diabetes and different definitions of CAD (ESM Table 4)
0	diabetes	NA	NA	DISCUSS	We report the largest genome-wide association study of CAD among individuals with diabetes to date.
0	NA	NA	NA	DISCUSS	There are three main findings.
0	NA	NA	NA	DISCUSS	First, we report two genome-wide significant loci (LPA and 9p21) previously linked to CAD in the general population with similar effect sizes.
0	diabetes	SORT1	NA	DISCUSS	Second, among 61 previously identified CAD variants in the general population, two:SORT1 and KCNE2:were significantly associated with CAD among individuals with diabetes.
0	diabetes	NA	NA	DISCUSS	Moreover, in the diabetic population, 49 of the remaining 56 non-significant variants showed effect directions and sizes consistent with those observed in the non-diabetic population.
0	NA	NA	NA	DISCUSS	Third, we could not replicate findings from previous studies on diabetes-specific CAD loci, highlighting the limitations of small study samples, lack of replication and/or candidate gene-based approaches.
0	diabetes	NA	NA	DISCUSS	Overall, our study provides evidence that the genetic mechanisms underlying CAD in participants with diabetes are similar to those in individuals without diabetes
0	diabetes	PSRC1	NA	DISCUSS	Our gene-based analyses provided some evidence for association of variation in or near three genes with CAD in the population with diabetes: PSRC1, CYGB and PRCD.
0	NA	PSRC1	NA	DISCUSS	PSRC1 lays within the CELSR2-PSRC1-SORT1 locus, which has been associated with LDL-cholesterol and CAD, where there is convincing evidence for SORT1 being the causal gene.
0	NA	CYGB	NA	DISCUSS	CYGB and PRCD are located in the same locus on chromosome 17, where we also found some orthogonal evidence of a signal in the CARDIoGRAMplusC4D data.
0	NA	CYGB	NA	DISCUSS	The gene CYGB encodes the protein cytoglobin, which is a recently discovered globin expressed in fibroblasts and smooth muscle cells, and is reported to be an important regulator of cardiovascular tone in mice.
0	atherosclerotic	CYGB	NA	DISCUSS	The results of these gene-based analyses need to be replicated in other data sets, but tentatively suggest CYGB as an interesting candidate gene, especially given increasing recognition of the important role of smooth muscle cells in atherosclerosis
0	diabetes	NA	NA	DISCUSS	In this study, we did not detect genetic variants specific to CAD in the population with diabetes.
0	NA	NA	NA	DISCUSS	In our study, power was limited for lower allele frequencies and smaller effect sizes, and so we cannot exclude the possibility that such variants will be detected in larger future studies.
0	diabetes	NA	NA	DISCUSS	However, the general interpretation of our findings is that the genetic architecture of CAD in the population without diabetes and in those with diabetes is largely similar
0	NA	NA	NA	DISCUSS	Limitations of this study include a limited power in other ethnicities than white British, although it is reasonable to assume that the underlying biology, but not necessarily linkage disequilibrium structure, is similar across ethnic backgrounds.
0	NA	NA	NA	DISCUSS	Another limitation is that individuals in the control group are likely to have subclinical or clinical CAD not captured by our definition.
0	NA	NA	NA	DISCUSS	Such misclassification likely attenuated our estimates and thereby increases the chance of false negative findings and underestimation of effects.
0	diabetes	NA	NA	DISCUSS	Finally, our study included only participants with previously diagnosed diabetes and a mean age of 63 years, which is rather young for a diabetes cohort.
0	diabetes	NA	NA	DISCUSS	In the future, when the biomarker data (including glucose and HbA1c) become available in the UK Biobank, it will be possible to extend the current study to those with undiagnosed diabetes
0	diabetes	NA	NA	DISCUSS	Our results indicate large similarities between the genetic architecture of CAD in the individuals with and without diabetes.
0	NA	NA	NA	DISCUSS	Larger studies are needed to establish whether there are diabetes-specific CAD loci with smaller effect sizes
0	NA	NA	NA	ABBR	Coronary ARtery DIsease Genome wide Replication and Meta-analysis plus The Coronary Artery Disease Genetic
0	NA	NA	NA	ABBR	TF is responsible for the integrity of the work as a whole.
0	NA	NA	NA	ABBR	TF and SG performed statistical analysis.
0	NA	NA	NA	ABBR	TF, SG, MO-M and EI provided substantial contributions to conception and design of the study and interpretation of data.
0	NA	NA	NA	ABBR	TF drafted the article and SG, MO-M and EI critically revised it for important intellectual content.
0	NA	NA	NA	ABBR	All authors approved the final version to be published
0	NA	NA	NA	ACK_FUND	The study was conducted with support from the Swedish Research Council (2015-03477), Swedish Heart-Lung Foundation (20150429), Borgstroms foundation, Goran Gustafssons Stiftelse (1637), National Institutes of Health (R01DK106236) and Axel and Signe Lagerman's Foundation
0	NA	NA	NA	SUPPL	This research has been conducted using the UK Biobank resource.
0	NA	NA	NA	SUPPL	All bona fide researchers can apply to use the UK Biobank resource for health-related research that is in the public interest (www.ukbiobank.ac.uk/register-apply/).
0	NA	NA	NA	SUPPL	CARDIoGRAMplusC4D data was accessed from www.cardiogramplusc4d.org/
0	NA	NA	NA	COMP_INT	EI is a scientific advisor for Precision Wellness, and has received consulting fees from Olink Proteomics for work unrelated to the present project.
0	NA	NA	NA	COMP_INT	The other authors have no duality of interest
