0	gestational diabetes	NA	NA	ABSTRACT	Knowledge regarding the genetic risk loci for gestational diabetes mellitus (GDM) is still limited.
0	NA	NA	NA	INTRO	However, genetic knowledge in the context of GDM is still limited, and systematic approaches such as GWA studies have not been applied to GDM.
0	NA	NA	NA	INTRO	Thus, it is not known whether there are genetic risk loci specific to GDM.
0	diabetes	NA	NA	INTRO	In this study, we performed a GWA study to investigate genetic risk factors for GDM in Korean women and we also compared the genetic basis of GDM and type 2 diabetes
0	NA	NA	NA	METHODS	A total of 468 women with GDM and 1,242 nondiabetic control women were recruited for the stage 1 genome scan.
0	NA	NA	NA	METHODS	The GDM group was selected from a hospital-based cohort enrolled between January 1996 and February 2003 from Cheil General Hospital.
0	NA	NA	NA	METHODS	A 50-g 1-h glucose challenge test was performed during 24-28 weeks' gestation in order to screen for GDM, and a glucose level of >=7.2 mmol/L was considered positive and warranted a diagnostic 100-g oral glucose tolerance test.
0	insulin deficiency	NA	NA	METHODS	Glucose and insulin concentrations were measured at 0, 1, 2, and 3 h of the glucose challenge.
0	NA	NA	NA	METHODS	GDM was diagnosed according to the criteria of the Third International Workshop Conference on GDM.
0	NA	NA	NA	METHODS	The thresholds for the diagnosis of GDM were as follows: fasting >=5.8 mmol/L, 1 h >=10.6 mmol/L, 2 h >=9.2 mmol/L, and 3 h >=8.1 mmol/L.
0	NA	NA	NA	METHODS	The clinical characteristics of stage 1 subjects are summarized in Table 1.
0	NA	NA	NA	METHODS	The mean gestational age at GDM diagnosis was 27.9 +- 2.9 weeks
0	NA	NA	NA	TABLE	Clinical characteristics of the study participants in the GDM GWA analysi
0	NA	NA	NA	METHODS	Nondiabetic control subjects were selected from two population-based cohort studies, the rural Ansung and the urban Ansan cohorts.
0	NA	NA	NA	METHODS	The two cohorts comprised the Korean Genome Epidemiology Study and included 5,018 and 5,020 subjects, respectively.
0	NA	NA	NA	METHODS	Only women were eligible for enrollment.
0	Type 2 diabetes	NA	NA	METHODS	From the Korean Genome Epidemiology Study subjects, we included 1,242 nondiabetic women according to the following criteria: age >=50 years, no previous history of type 2 diabetes, no first-degree relatives with type 2 diabetes, fasting plasma glucose level <5.6 mmol/L, and HbA1c <6.0%.
0	NA	NA	NA	METHODS	Information on parity and glucose tolerance status during pregnancy was not available for the control group
0	NA	NA	NA	METHODS	A total of 931 women with GDM and 783 nondiabetic control women were included in the stage 2 follow-up study (Table 1).
0	NA	NA	NA	METHODS	The GDM group consisted of two subgroups: 1) 426 women with GDM recruited from the Cheil General Hospital between January 1996 and February 2003 and 2) 505 women with GDM recruited as an independent cohort from the same hospital between March 2003 and February 2008.
0	NA	NA	NA	METHODS	The diagnostic criteria of GDM in stage 2 were the same as those in stage 1.
0	NA	NA	NA	METHODS	As control subjects, we enrolled nondiabetic women from four different institutes: 1) Seoul National University Hospital (n = 162), 2) Seoul National University Bundang Hospital (n = 96), 3) Kyungpook National University Hospital (n = 201), and 4) Korea National Institute of Health (from the Health T2D Study) (n = 324).
0	Type 2 diabetes	NA	NA	METHODS	The criteria for selecting control subjects were as follows: age >=60 years, no previous history of type 2 diabetes, no first-degree relatives with type 2 diabetes, fasting plasma glucose level <5.6 mmol/L, and HbA1c <6.0%
0	NA	NA	NA	METHODS	The institutional review board of the Clinical Research Institute at Seoul National University Hospital approved the study protocol (institutional review board no.
0	NA	NA	NA	METHODS	H-0412-138-017), and written informed consent was obtained from each subject.
0	NA	NA	NA	METHODS	All clinical investigations were conducted according to the principles expressed in the Declaration of Helsinki
0	NA	NA	NA	METHODS	The anthropometric and metabolic phenotypes of the women with GDM were measured at the time of the 100-g oral glucose tolerance test.
0	NA	NA	NA	METHODS	Plasma glucose concentration was determined by YSI 2300 STAT (YSI, Yellow Springs, OH) using the glucose oxidase method.
0	NA	insulin	NA	METHODS	The insulin concentration was measured using a human-specific radioimmunoassay kit (Linco Research, St. Charles, MO).
0	NA	insulin	NA	METHODS	The homeostasis model assessment (HOMA) was used to estimate insulin resistance (HOMA-IR) and beta-cell function (HOMA-B) with paired fasting glucose and insulin concentrations
0	NA	NA	NA	METHODS	We extracted genomic DNA from peripheral leukocytes.
0	NA	NA	NA	METHODS	Genotyping for the stage 1 genome scan was performed using the Affymetrix Genome-Wide Human Single Nucleotide Polymorphism (SNP) Array 5.0, and genotypes were called using the Birdseed version 2.0 algorithm.
0	NA	NA	NA	METHODS	Extensive quality-control protocols were applied.
0	NA	NA	NA	METHODS	Markers with significant deviation from Hardy-Weinberg equilibrium (P < 1.0 x 10-6), genotype call rate < 97%, and minor allele frequency < 0.01 were excluded.
0	NA	NA	NA	METHODS	The genotyping for the case and control subjects was conducted in the same laboratory but at a different time.
0	NA	NA	NA	METHODS	To exclude the potential batch effect, we also excluded markers with significant differences (P < 1.0 x 10-3) in missingness between case and control subjects.
0	NA	NA	NA	METHODS	Finally, 321,654 markers remained for analysis
0	NA	NA	NA	METHODS	The genotype concordance rate in 10 replicated samples was >99.7% in the stage 1 control group.
0	NA	NA	NA	METHODS	We excluded one sample with sex inconsistency and five samples with cryptic first-degree relatedness assessed by identity-by-descent analysis, resulting in 468 case and 1,242 control subjects.
0	NA	NA	NA	METHODS	The overall genomic inflation factor (lambda) of the stage 1 genome scan was 1.042, which suggests a low level of population stratification.
0	NA	NA	NA	METHODS	A quantile-quantile (QQ) plot indicated that the observed distribution of the P values of the logistic regression analysis were similar to that expected under the null hypothesis, except for the deviation in the extremely low P values (Fig.
0	NA	NA	NA	METHODS	1A).
0	NA	NA	NA	METHODS	These findings indicate that our study has good-quality data and that statistically significant signals are enriched
0	NA	NA	NA	FIG	Stage 1 genome scan results.
0	NA	NA	NA	FIG	A: QQ plot showing the distribution of the observed P values from the logistic regression analysis for the stage 1 genome scan against the expected distribution under the null hypothesis.
0	NA	NA	NA	FIG	The gray zone indicates the 95% CI.
0	diabetes	NA	NA	FIG	Colored circle, distribution of excess association signals driven by the known type 2 diabetes variants (listed in Table 4) and markers in LD (r2 > 0.8) with them.
0	diabetes	NA	NA	FIG	, distribution after excluding the known type 2 diabetes variants.
0	NA	NA	NA	FIG	B: Manhattan plot depicting the significance of all the association results of the stage 1 genome scan.
0	NA	NA	NA	FIG	SNP locations are plotted on the x-axis according to their chromosomal position.
0	NA	NA	NA	FIG	The negative log10 of P values derived from the logistic regression analysis under the additive model are plotted on the y-axis.
0	NA	NA	NA	FIG	(A high-quality color representation of this figure is available in the online issue.
0	NA	NA	NA	METHODS	Genotype cluster plots were manually inspected for suggestive loci in the stage 1 genome scan.
0	NA	NA	NA	METHODS	For stage 2 follow-up genotyping, the TaqMan assay (Applied Biosystems, Carlsbad, CA) was used, as previously described, except for the 324 subjects from the Health T2D Study, where genotyping was done using the Affymetrix Genome-Wide Human SNP Array 6.0.
0	NA	NA	NA	METHODS	Overall, the TaqMan genotyping success rate was 99.3%, and the concordance rate based on 15 blind duplicate comparisons was 100% in the stage 2 study.
0	NA	NA	NA	METHODS	For the SNP genotyping in Health T2D Study, standard quality-control measures were applied and imputation was conducted using IMPUTE version 1.0 (http://mathgen.stats.ox.ac.uk/impute/impute.html)
0	NA	NA	NA	METHODS	Most of the association testing was performed using PLINK version 1.07 (http://pngu.mgh.harvard.edu/purcell/plink/), and genotype imputation was conducted using MACH software (http://www.sph.umich.edu/csg/abecasis/mach/).
0	NA	NA	NA	METHODS	The genotype data that passed our quality-control criteria and had minor allele frequency >5% were used as input data for genotype imputation.
0	NA	NA	NA	METHODS	The HapMap-phased genotype information of Japanese in Tokyo, Japan, and Han Chinese in Beijing, China (build 36 release 21) was used as a reference.
0	NA	NA	NA	METHODS	After postimputation quality control using r2 >= 0.3 (squared correlation between imputed and true genotypes), a total of 2,188,613 SNPs were available for analysis.
0	NA	NA	NA	METHODS	The association between genotypes and GDM risk was assessed by logistic regression analysis in an additive model.
0	NA	NA	NA	METHODS	For imputed markers, an association test was performed with dosage data using mach2dat software (http://www.sph.umich.edu/csg/abecasis/mach/)
0	diabetes	NA	NA	METHODS	Markers with suggestive genome-wide significance (P < 2.0 x 10-5) or markers near known type 2 diabetes risk loci with moderate significance (P < 1.0 x 10-3) in the stage 1 genome scan were further genotyped in stage 2 subjects.
0	NA	NA	NA	METHODS	The significance threshold for the stage 2 follow-up study was P < 0.05.
0	NA	NA	NA	METHODS	A joint analysis of stage 1 plus stage 2 results was performed with METAL (http://www.sph.umich.edu/csg/abecasis/metal/), using an inverse-variance method assuming fixed effects.
0	NA	NA	NA	METHODS	An additional association analysis was performed using the EMMAX (http://genetics.cs.ucla.edu/emmax/), a variance component association method, to account for possible hidden relatedness and population stratification in the stage 1 genome scan.
0	NA	insulin	NA	METHODS	The association between genetic variants and fasting glucose, fasting insulin concentration, HOMA-IR, and HOMA-B were analyzed using linear regression in case and control subjects separately, assuming an additive genetic model.
0	NA	insulin	NA	METHODS	None of the women with GDM or the control subjects was using antidiabetes medications, including insulin, at the time of glucose and insulin measurement.
0	NA	insulin	NA	METHODS	The fasting insulin concentration, HOMA-IR, and HOMA-B was log10 transformed before analysis.
0	NA	NA	NA	METHODS	The linear regression analysis was controlled for age in women with GDM and for age and BMI in control women
0	NA	NA	NA	METHODS	The statistical power of the joint stage 1 plus stage 2 analysis was calculated using the CaTS power calculator (http://www.sph.umich.edu/csg/abecasis/cats/).
0	NA	NA	NA	METHODS	The QQ plot, which shows the distribution of the observed P values of the logistic regression analysis against the expected distribution under the null hypothesis, was generated using the R statistical package (http://www.r-project.org).
0	NA	NA	NA	METHODS	The Manhattan plot, which depicts the negative log10 of P values derived from the logistic regression analysis, was plotted against the chromosomal position using the R statistical package.
0	NA	NA	NA	METHODS	The dense regional association results of stage 1, stage 2, and the joint analysis of stage 1 plus stage 2 were plotted using LocusZoom software (http://csg.sph.umich.edu/locuszoom/).
0	diabetes	NA	NA	METHODS	To compare the effect size of known type 2 diabetes variants in GDM and type 2 diabetes, the beta-coefficient of the logistic regression analysis derived from our stage 1 genome scan and from the stage 1 meta-GWA analysis of the Asian Genetic Epidemiology Network (AGEN) type 2 diabetes report was plotted
0	NA	NA	NA	RESULTS	In the stage 1 genome scan, logistic regression analysis using an additive genetic model was used to test for the association between the genotypes and GDM.
0	NA	NA	NA	RESULTS	The negative log10 of the P values from the association test were plotted against their genomic position in Fig.
0	NA	NA	NA	RESULTS	1B.
0	NA	NA	NA	RESULTS	The association test results for SNPs with P < 0.0001 in the stage 1 genome scan are listed in Supplementary Table 1.
0	NA	NA	NA	RESULTS	A total of nine independent (pairwise linkage disequilibrium [LD] r2 < 0.5) SNPs were suggestive of an association according to our predefined arbitrary threshold of P < 2.0 x 10-5.
1	NA	CDKAL1	rs7754840	RESULTS	Among these, variants in CDKAL1 (rs7754840) and near MTNR1B (rs10830962) showed the strongest association with GDM risk.
0	diabetes	NA	rs10757261	RESULTS	We added two additional variants (rs10757261 near CDKN2A/2B and rs10882066 in IDE) from the type 2 diabetes risk loci, which had suggestive P values in our stage 1 results.
0	NA	NA	rs6499500	RESULTS	Among the 11 SNPs, 4 were substituted to imputed SNPs (rs6499500, rs12715106, rs9395950, and rs187230), which had more significant P values and had strong LD (r2 > 0.8) with the original SNPs.
0	NA	NA	NA	RESULTS	To eliminate hidden population stratification and cryptic relatedness, the EMMAX, a variance component approach accounting for hidden sample structure, was used to test the association between genetic variants and GDM.
0	NA	NA	NA	RESULTS	The P values of the EMMAX are listed in Supplementary Table 1.
0	NA	NA	NA	RESULTS	The results of the EMMAX were similar to those of the original logistic regression analysis.
0	NA	NA	NA	RESULTS	The Pearson correlation coefficient for the log10 of the P values of both analyses was 0.921 (P < 1.51 x 10-288).
0	NA	NA	NA	RESULTS	This implies that population stratification was minimal in our study samples
0	NA	NA	NA	RESULTS	In stage 2 follow-up, we genotyped 11 SNPs in 931 case and 783 control subjects.
0	NA	NA	NA	RESULTS	The results of the stage 2 association test are shown in Table 2.
1	NA	CDKAL1	rs7754840	RESULTS	Among these, rs7754840 in CDKAL1 (odds ratio [OR] 1.396 [95% CI 1.222-1.594]; P = 2.90 x 10-7), rs10830962 near MTNR1B (1.442 [1.259-1.651]; P = 6.95 x 10-8), rs1470579 in IGF2BP2 (1.236 [1.068-1.430]; P = 0.0042), and rs10882066 in IDE (1.203 [1.013-1.428]; P = 0.035) were significantly associated with GDM in the stage 2 samples.
0	NA	NA	NA	RESULTS	None of the other SNPs showed evidence of an association.
1	NA	CDKAL1	rs7754840	RESULTS	In the joint analysis of stage 1 plus stage 2 results (Table 2), rs7754840 in CDKAL1 (1.518 [1.372-1.680]; P = 6.65 x 10-16) and rs10830962 near MTNR1B (1.454 [1.315-1.608]; P = 2.49 x 10-13) reached genome-wide significance for an association with GDM.
1	NA	IGF2BP2	rs1470579	RESULTS	One additional variant, rs1470579 in IGF2BP2 (1.332 [1.197-1.484]; P = 1.67 x 10-7), showed a near genome-wide significant association with GDM.
1	NA	CDKAL1	NA	RESULTS	The regional association plot of SNPs near CDKAL1 and MTNR1B, including those that have been imputed, are depicted in Fig.
0	NA	NA	NA	RESULTS	2
0	NA	NA	NA	TABLE	Association between SNPs and GDM in stage 1, stage 2, and joint stage 1 plus stage 2 analysi
1	NA	CDKAL1	NA	FIG	Dense regional association plot near CDKAL1 (A) and MTNR1B (B).
0	NA	NA	NA	FIG	The hash marks above the panel represent the position of each SNP that was genotyped or imputed.
0	NA	NA	NA	FIG	The negative log10 of P values from logistic regression are shown in the panel.
0	NA	NA	NA	FIG	The blue diamond indicates the SNP with the most significant association in the stage 1 genome scan.
0	NA	NA	NA	FIG	The green and red diamonds represent the results of the SNP in stage 2 and joint stage 1 plus stage 2 analysis, respectively.
0	NA	NA	NA	FIG	Their corresponding P values are indicated on the right.
0	NA	NA	NA	FIG	Estimated recombination rates are plotted to reflect recombination hot spots.
0	NA	NA	NA	FIG	The SNPs in LD with the most significant SNP are color coded to represent their strength of LD.
0	NA	NA	NA	FIG	The locations of genes, exons and introns are shown in the lower panel (taken from the Human Genome hg18 build).
0	NA	NA	NA	FIG	(A high-quality color representation of this figure is available in the online issue.
0	NA	insulin	NA	RESULTS	To obtain additional insight into the role of these two variants, we performed an association analysis between these variants and quantitative traits of fasting glucose, fasting insulin, HOMA-IR, and HOMA-B in women with GDM and control subjects, separately (Table 3).
1	NA	CDKAL1	rs7754840	RESULTS	The rs7754840 C allele of CDKAL1, which was the risk variant of GDM, was significantly associated with decreased fasting insulin concentration (beta = -0.026; P = 0.00051) and decreased HOMA-B (beta = -0.034; P = 0.00085) in women with GDM.
1	NA	MTNR1B	rs10830962	RESULTS	The rs10830962 G allele near MTNR1B was nominally associated with decreased fasting insulin concentrations (beta = -0.018; P = 0.029) in women with GDM.
0	NA	NA	NA	RESULTS	This variant was also marginally associated with increased fasting glucose concentrations (beta = 0.025; P = 0.041) in control subjects
1	NA	insulin	rs7754840	TABLE	Association of rs7754840 and rs10830962 with fasting glucose, fasting insulin, HOMA-IR, and HOMA-B in women with GDM and control subject
0	diabetes	NA	NA	RESULTS	Among 41 known type 2 diabetes loci, we were able to examine the association signals for 34 loci that were directly genotyped or imputed (Table 4).
0	NA	NA	NA	RESULTS	There was an excess of small P values compared with the expected distribution under the null hypothesis (Fig.
0	NA	NA	NA	RESULTS	3).
0	diabetes	NA	NA	RESULTS	When these known type 2 diabetes risk variants and markers in LD (r2 > 0.8) were excluded, the QQ plot of our stage 1 genome scan was similar to that expected under the null hypothesis (Fig.
0	NA	NA	NA	RESULTS	1A)
0	diabetes	NA	NA	TABLE	Association of confirmed type 2 diabetes loci with GDM risk in stage 1 genome scan result
0	diabetes	NA	NA	FIG	QQ plot of the association between known type 2 diabetes variants and GDM.
0	diabetes	NA	NA	FIG	Comparison of the effect size of known type 2 diabetes variants in GDM and type 2 diabetes.
0	NA	NA	NA	FIG	The gray zone indicates the 95% CI.
0	diabetes	NA	NA	FIG	The known type 2 diabetes variants tested for association are listed in Table 4
0	diabetes	NA	NA	RESULTS	We compared the beta-coefficient in the logistic regression analysis of known type 2 diabetes variants in GDM (our stage 1 genome scan) and type 2 diabetes (AGEN type 2 diabetes stage 1 meta-GWA results) (Fig.
0	NA	NA	NA	RESULTS	4 and Supplementary Table 2).
0	Type 2 diabetes	NA	NA	RESULTS	There was a significant positive correlation between the beta-coefficients of GDM and type 2 diabetes (Pearson correlation coefficient 0.442; P = 0.0062).
1	diabetes	MTNR1B	rs10830963	RESULTS	However, some variants, such as rs10830963 of MTNR1B and rs11708067 of ADCY5, showed considerable differences in effect size between GDM and type 2 diabetes
0	diabetes	NA	NA	FIG	Comparison of the effect size of known type 2 diabetes variants in GDM and type 2 diabetes.
0	diabetes	NA	NA	FIG	Effect size (beta-coefficient from logistic regression analysis) of the known type 2 diabetes variants in GDM (y-axis) and type 2 diabetes (x-axis) are plotted with their corresponding P values (A: P values in GDM; B: P values in type 2 diabetes): red, P < 0.0001; orange, 0.0001 <= P < 0.01; yellow, 0.01 <= P < 0.10; green, 0.10 <= P < 0.50; blue, 0.50 <= P. The beta-coefficient for GDM was derived from our stage 1 genome scan and that for type 2 diabetes was derived from the AGEN type 2 diabetes study.
0	NA	NA	rs10906115	FIG	The two CDC123/CAMK1D variants are distinguished by CDC123/CAMK1D for rs10906115 and CDC123/CAMK1D* for rs12779790.
0	NA	KCNQ1	rs231362	FIG	The two KCNQ1 variants are distinguished by KCNQ1 for rs231362 and KCNQ* for rs2237892.
0	NA	NA	NA	FIG	(A high-quality color representation of this figure is available in the online issue.
1	diabetes	CDKAL1	rs7754840	RESULTS	Finally, we examined the association results for rs7754840 of CDKAL1 and rs10830962 of MTNR1B in the stage 1 meta-GWA study of the AGEN type 2 diabetes report.
1	Type 2 diabetes	NA	rs7754840	RESULTS	The C allele of rs7754840 was significantly associated with an increased risk of type 2 diabetes (n = 18,732; OR 1.20 [95% CI 1.14-1.25]; P = 9.63 x 10-15).
0	diabetes	NA	rs10830962	RESULTS	However, the G allele of rs10830962 was not associated with type 2 diabetes risk (n = 10,754; 1.040 [0.98-1.11]; P = 0.209)
1	NA	CDKAL1	NA	DISCUSS	The main finding of this study is that variants in CDKAL1 and near MTNR1B are associated with GDM at a genome-wide significance level (P < 5.0 x 10-8).
0	NA	NA	NA	DISCUSS	Our findings are confirmatory of previous candidate gene studies of GDM.
0	diabetes	NA	NA	DISCUSS	Previously, we selected 18 SNPs, known to be associated with the risk of type 2 diabetes, for association testing in GDM.
1	NA	CDKAL1	rs7756992	DISCUSS	Among them, two SNPs (rs7756992 and rs7754840) in CDKAL1 were associated with GDM risk at a genome-wide significance level, and one SNP (rs10811661) near CDKN2A/2B also was strongly associated with GDM.
0	diabetes	TCF7L2	NA	DISCUSS	Another study in Europeans tested 11 known SNPs of type 2 diabetes and found a modest association between GDM and TCF7L2, CDKAL1, and TCF2 variants.
0	NA	NA	NA	DISCUSS	Recently, Kim et al.
1	NA	MTNR1B	rs1387153	DISCUSS	reported that two SNPs in MTNR1B (rs1387153 and rs10830963) were strongly associated with GDM in Korean women.
0	NA	NA	NA	DISCUSS	The study by Kim et al.
0	NA	NA	NA	DISCUSS	was led by one of our investigators but was performed independently of this study, and 505 subjects with GDM in that study overlapped with our stage 2 follow-up subjects.
0	diabetes	NA	NA	DISCUSS	However, only a limited number of genetic variants known to be associated with type 2 diabetes have been tested thus far, and a systematic approach such as GWA analysis has not been applied to GDM until now.
0	NA	NA	NA	DISCUSS	To the best of our knowledge, this is the first study to investigate the genetic association of GDM using dense SNP markers across the whole genome
0	diabetes	CDKAL1	NA	DISCUSS	Variants in CDKAL1 are known to be strongly associated with type 2 diabetes.
1	diabetes	CDKAL1	rs7754840	DISCUSS	In our previous studies, the variant rs7754840 in CDKAL1 was significantly associated with GDM risk in 1,501 Koreans as well as type 2 diabetes in 6,719 Asians including Koreans.
0	diabetes	NA	NA	DISCUSS	The precise mechanism by which this variant confers type 2 diabetes and GDM risk is not yet clearly understood.
0	NA	CDKAL1	NA	DISCUSS	CDKAL1 (cyclin-dependent kinase 5 [CDK5] regulatory subunit-associated protein 1-like 1) has been suggested to interact with CDK5 because it has homology with CDK5RAP1, a known inhibitor of CDK5.
0	pancreatic	CDK5	NA	DISCUSS	CDK5 is expressed in pancreatic beta-cells, and it has recently been reported to promote beta-cell survival.
0	NA	insulin	NA	DISCUSS	Pregnancy is a state in which increased insulin resistance results in stress that adversely affects beta-cell survival.
0	NA	CDKAL1	NA	DISCUSS	Therefore, it may be postulated that variants in CDKAL1 might alter the function of CDK5 in beta-cell compensation during pregnancy.
1	NA	CDKAL1	rs7754840	DISCUSS	The rs7754840 C variant of CDKAL1 was significantly associated with decreased insulin concentration and HOMA-B in our subjects with GDM, which implies compromised beta-cell compensation.
0	decreased birth weight	CDKAL1	NA	DISCUSS	It also should be noted that variants in CDKAL1 are associated with decreased birth weight, which could be explained by reduced fetal insulin secretion
1	NA	MTNR1B	NA	DISCUSS	Variants in MTNR1B were first identified as genetic risk factors strongly associated with elevated fasting glucose.
0	diabetes	NA	NA	DISCUSS	Although it also was associated with type 2 diabetes risk in Europeans, the strength of association was rather weak compared with its association with fasting glucose.
1	diabetes	MTNR1B	rs10830962	DISCUSS	It is interesting that the rs10830962 variant in MTNR1B was the second most strongly associated loci in GDM but was not associated with type 2 diabetes risk in a large-scale meta-GWA study of East Asians (AGEN type 2 diabetes meta-GWA study).
1	diabetes	MTNR1B	rs10830962	DISCUSS	The effect size of the MTNR1B rs10830962 variant was considerably different in our GDM GWA study (beta = 0.374) compared with the AGEN type 2 diabetes meta-GWA study (beta = 0.040).
0	diabetes	NA	rs10830962	DISCUSS	The risk allele of rs10830962 G was enriched in women with GDM (risk allele frequency 0.529 and 0.537 in stage 1 and stage 2 subjects, respectively) compared with AGEN type 2 diabetic subjects (risk allele frequency range for participating studies 0.40-0.46).
0	diabetes	NA	NA	DISCUSS	It is not clear why this variant is more strongly associated with the risk of GDM compared with type 2 diabetes.
1	diabetes	MTNR1B	NA	DISCUSS	However, it could be cautiously speculated that there might be differences in genetic susceptibility between type 2 diabetes and GDM conferred by the variants of MTNR1B.
0	NA	NA	NA	DISCUSS	Additional investigations are required to confirm these findings
1	pancreatic	MTNR1B	NA	DISCUSS	It was recently revealed that MTNR1B is expressed in pancreatic beta-cells.
1	NA	insulin	NA	DISCUSS	Melatonin is thought to inhibit insulin secretion from beta-cells through the activation of MTNR1B, which is a G-protein-coupled receptor.
0	Type 2 diabetes	insulin	rs10830962	DISCUSS	The rs10830962 variant is in strong LD (r2 = 0.98, in our study subjects) with rs10830963, which originally was reported to be associated with fasting glucose concentrations, insulin concentrations, and type 2 diabetes.
1	NA	MTNR1B	rs1083092	DISCUSS	It is interesting that the rs1083092 variant is located 4.36 kb upstream of MTNR1B and in the vicinity of the region where monomethylation of lysine 4 of histone 3 (H3K4Me1), known as an enhancer-associated histone mark, was enriched in the Encyclopedia of DNA Elements database (http://genome.ucsc.edu/encode/).
0	NA	NA	NA	DISCUSS	It would be of worth to study the functional role of this variant as well as to search for causative variants near this locus, especially in the promoter and/or enhancer region
0	diabetes	NA	NA	DISCUSS	Because we performed a GWA analysis using 2.19 million genotyped or imputed markers, we were able to test the hypothesis that GDM and type 2 diabetes might share a similar genetic background.
0	diabetes	NA	NA	DISCUSS	Among 11 variants listed in Table 2, five SNPs were located near the known type 2 diabetes loci.
1	diabetes	CDKAL1	rs7754840	DISCUSS	Three variants that showed an association at or near genome-wide significance, rs7754840 in CDKAL1, rs10830962 near MTNR1B, and rs1470579 in IGF2BP2, were identical or in strong LD with known type 2 diabetes variants.
0	diabetes	NA	rs10757261	DISCUSS	Two other variants, rs10757261 in CDKN2A/2B and rs10882066 in IDE, were not in LD with known type 2 diabetes variants (r2 = 0.013 between rs10757261 and rs10811661 and r2 = 0.002 between rs10882066 and rs5015480).
0	diabetes	NA	NA	DISCUSS	Given that many of the type 2 diabetes risk loci were associated with GDM, unbiased GWA studies of GDM showed genome-wide significant associations confined to known type 2 diabetes loci, and the effect size of the type 2 diabetes risk variants in GDM and type 2 diabetes were mostly comparable, it would be acceptable to state that GDM and type 2 diabetes share a similar genetic background
